epoch,elapsed_sec,lr,train/loss,train/accuracy,val/loss,val/accuracy,val/acc_fwd_slow,val/acc_fwd_med,val/acc_fwd_fast,val/acc_L_med,val/acc_L_slight,val/acc_R_slight,val/acc_fwd_L,val/chunk_accuracy
0,160.59,0.00010199999999999999,0.15463750928135242,0.09184322033898305,0.024316461666280195,0.5570436507936508,1.0,0.0,0.6925015752993069,0.6666666666666666,0.0,0.0,0.0,0.000694444432618126
1,317.86,0.00020099999999999998,0.14651474553649707,0.743114406779661,0.04346991126404314,0.8764880952380952,0.5,0.5849056603773585,0.9243856332703214,0.7272727272727273,0.7763713080168776,0.6041666666666666,0.0,0.7540674734683264
2,475.28,0.0003,0.1436012412026777,0.8112288135593221,0.049470620670555424,0.8834325396825397,0.5,0.5754716981132075,0.9294265910523,0.6666666666666666,0.7974683544303798,0.6875,0.0,0.712996043383129
3,632.29,0.0002996661483541614,0.1434035076428268,0.7992584745762712,0.04743413140328365,0.8953373015873016,0.5,0.5754716981132075,0.945179584120983,0.6666666666666666,0.7932489451476793,0.6875,0.0,0.7688492153372083
4,789.02,0.0002986660844791396,0.142962163030091,0.8176906779661017,0.04868548462215427,0.8819444444444444,0.5,0.5754716981132075,0.9269061121613107,0.7272727272727273,0.7932489451476793,0.6875,0.0,0.6869047738256908
5,944.27,0.0002970042749029697,0.14305290301977577,0.8255296610169491,0.04473073946844254,0.8953373015873016,0.5,0.5849056603773585,0.9445494643982356,0.6666666666666666,0.7932489451476793,0.6875,0.0,0.7462301684750451
6,1099.85,0.00029468814167062926,0.1425777027667579,0.8271186440677966,0.04713539549335283,0.8665674603174603,0.5,0.6037735849056604,0.9054820415879017,0.7272727272727273,0.7932489451476793,0.6875,0.0,0.7090277861035059
7,1255.91,0.0002917280291953838,0.14259446955333321,0.8206567796610169,0.04028922160403685,0.84375,0.5,0.5849056603773585,0.8758664146187776,0.7272727272727273,0.8059071729957806,0.6875,0.0,0.6770833442135463
8,1412.58,0.00028813715805812605,0.14239877694744174,0.8132415254237289,0.046959118033613315,0.8343253968253969,0.5,0.660377358490566,0.8638941398865785,0.5151515151515151,0.8016877637130801,0.6875,0.0,0.7082341346475813
9,1568.76,0.0002839315659610522,0.14261227315765315,0.8205508474576271,0.041577216780592965,0.8328373015873016,0.5,0.5471698113207547,0.8676748582230623,0.6666666666666666,0.7932489451476793,0.6875,0.0,0.6817460410178654
10,1724.43,0.0002791300360993908,0.14227130948486974,0.8144067796610169,0.04439661610665517,0.8442460317460317,0.5,0.6037735849056604,0.8790170132325141,0.6363636363636364,0.7932489451476793,0.6875,0.0,0.716765882003875
11,1880.96,0.0002737540132710931,0.14222918233629,0.8134533898305085,0.045367922784949076,0.8571428571428571,0.5,0.4811320754716981,0.9042218021424071,0.6666666666666666,0.7848101265822784,0.6875,0.0,0.7045634977874302
12,2037.09,0.00026782750809915975,0.1422164919012684,0.8143008474576271,0.04410071116442504,0.8472222222222222,0.5,0.6132075471698113,0.8809073724007561,0.7272727272727273,0.7932489451476793,0.6666666666666666,0.0,0.6694444550408257
