epoch,elapsed_sec,lr,train/loss,train/accuracy,val/loss,val/accuracy,val/acc_stop,val/chunk_accuracy
0,165.77,0.00010199999999999999,0.1385960279379861,0.9151483050847458,8.117182352136643e-05,1.0,1.0,1.0
1,323.2,0.00020099999999999998,0.1383738655154988,1.0,1.1266149688645152e-09,1.0,1.0,1.0
2,479.73,0.0003,0.13834262965089184,1.0,1.6870540766847045e-10,1.0,1.0,1.0
3,636.59,0.0002996661483541614,0.13833922021469827,1.0,1.1117258800049815e-10,1.0,1.0,1.0
4,792.87,0.0002986660844791396,0.13833570546012813,1.0,8.792038746071578e-11,1.0,1.0,1.0
5,949.02,0.0002970042749029697,0.138334222011647,1.0,5.926129670760033e-11,1.0,1.0,1.0
6,1106.33,0.00029468814167062926,0.13833325868946011,1.0,5.6827851672616945e-11,1.0,1.0,1.0
7,1263.34,0.0002917280291953838,0.13833244412632312,1.0,4.276619655850147e-11,1.0,1.0,1.0
8,1420.15,0.00028813715805812605,0.13833229289216512,1.0,5.10398262179711e-11,1.0,1.0,1.0
9,1576.76,0.0002839315659610522,0.1383318617687387,1.0,4.777121962997803e-11,1.0,1.0,1.0
10,1733.38,0.0002791300360993908,0.13833186389025995,1.0,3.8563574745887844e-11,1.0,1.0,1.0
11,1889.28,0.0002737540132710931,0.13833164653535618,1.0,2.7760658107595885e-11,1.0,1.0,1.0
12,2046.03,0.00026782750809915975,0.13833165209172135,1.0,2.2164492215798984e-11,1.0,1.0,1.0
13,2202.72,0.00026137698979436963,0.13833141862335852,1.0,2.2590067906007558e-11,1.0,1.0,1.0
14,2360.28,0.000254431267937359,0.1383314782280033,1.0,2.1285829745635152e-11,1.0,1.0,1.0
15,2516.29,0.0002470213638080409,0.13833143559552855,1.0,1.4914832981976075e-11,1.0,1.0,1.0
16,2672.98,0.00023918037183703856,0.13833123576843132,1.0,1.373300902559763e-11,1.0,1.0,1.0
17,2829.6,0.00023094331179792418,0.13833119066084845,1.0,1.1115127192494004e-11,1.0,1.0,1.0
18,2986.09,0.0002223469724004092,0.13833140897548804,1.0,1.3297133421634267e-11,1.0,1.0,1.0
19,3143.07,0.00021342974698303606,0.13833126254000908,1.0,1.2496543090171447e-11,1.0,1.0,1.0
20,3299.95,0.0002042314620392081,0.13833097921589674,1.0,1.1818949299736122e-11,1.0,1.0,1.0
21,3456.17,0.00019479319934240225,0.13833108079635492,1.0,1.0286425040675057e-11,1.0,1.0,1.0
22,3612.48,0.00018515711246499544,0.1383308716749741,1.0,9.106544594133805e-12,1.0,1.0,1.0
23,3769.63,0.00017536623851017788,0.13833109170703564,1.0,9.01162723725609e-12,1.0,1.0,1.0
24,3925.97,0.00016546430589780268,0.1383308647547738,1.0,9.241902292783479e-12,1.0,1.0,1.0
25,4082.93,0.00015549553906264732,0.13833133916733628,1.0,9.696418650094706e-12,1.0,1.0,1.0
26,4239.52,0.00014550446093735265,0.1383307718624503,1.0,9.969404573257935e-12,1.0,1.0,1.0
27,4396.15,0.0001355356941021973,0.1383308754128925,1.0,9.47294077808441e-12,1.0,1.0,1.0
28,4553.01,0.00012563376148982207,0.13833084737850448,1.0,9.154946958701683e-12,1.0,1.0,1.0
29,4709.89,0.00011584288753500456,0.13833072448180894,1.0,9.66151569710218e-12,1.0,1.0,1.0
30,4866.76,0.00010620680065759775,0.13833079777531704,1.0,9.545259059297956e-12,1.0,1.0,1.0
31,5023.11,9.676853796079183e-05,0.1383307289774135,1.0,9.615394039572872e-12,1.0,1.0,1.0
32,5179.24,8.757025301696395e-05,0.1383308950622203,1.0,8.841217736702298e-12,1.0,1.0,1.0
33,5336.26,7.865302759959078e-05,0.13833070922706087,1.0,8.893978022646233e-12,1.0,1.0,1.0
34,5492.6,7.005668820207579e-05,0.13833073109893476,1.0,8.839784256218513e-12,1.0,1.0,1.0
35,5649.12,6.18196281629614e-05,0.1383307406457804,1.0,8.70582790436538e-12,1.0,1.0,1.0
36,5805.51,5.3978636191959035e-05,0.13833074958647712,1.0,8.670218560959319e-12,1.0,1.0,1.0
37,5962.32,4.6568732062640974e-05,0.13833083975113045,1.0,8.701522127950951e-12,1.0,1.0,1.0
38,6118.66,3.962301020563034e-05,0.13833081454543744,1.0,8.288155524823654e-12,1.0,1.0,1.0
39,6275.64,3.3172491900840177e-05,0.1383306688676446,1.0,8.388108136872739e-12,1.0,1.0,1.0
40,6432.08,2.7245986728906865e-05,0.13833078489465228,1.0,8.377970708883533e-12,1.0,1.0,1.0
41,6589.07,2.1869963900609195e-05,0.13833067265607543,1.0,8.402316196755674e-12,1.0,1.0,1.0
42,6746.03,1.706843403894777e-05,0.1383306747775967,1.0,8.770056674375166e-12,1.0,1.0,1.0
43,6902.14,1.2862841941873914e-05,0.13833074867725373,1.0,8.377963831944038e-12,1.0,1.0,1.0
44,7058.47,9.271970804616124e-06,0.1383306160821753,1.0,8.333545487004912e-12,1.0,1.0,1.0
45,7215.66,6.311858329370718e-06,0.13833061719344833,1.0,8.510995300831544e-12,1.0,1.0,1.0
46,7372.86,3.99572509703028e-06,0.13833070685297755,1.0,8.36148497772811e-12,1.0,1.0,1.0
47,7529.52,2.3339155208603858e-06,0.13833085293486966,1.0,8.308320632006917e-12,1.0,1.0,1.0
48,7686.11,1.3338516458386019e-06,0.1383306231539128,1.0,8.38398511219974e-12,1.0,1.0,1.0
49,7842.69,1e-06,0.1383307783785513,1.0,8.481443088633022e-12,1.0,1.0,1.0
