epoch,elapsed_sec,lr,train/loss,train/traversability,train/elevation,train/semantics,train/total,val/loss,val/traversability,val/elevation,val/semantics,val/total
0,148.13,2.08e-05,1.78164602854313,0.7063996489770812,0.020828704047684037,2.844395186926265,1.78164602854313,1.7130892015721677,0.7045955423020969,0.0022507668923192324,2.7202324066719,1.7130892015721677
1,288.93,4.06e-05,1.4027757060294057,0.6954887550700664,9.225202761331926e-05,2.1100073024338366,1.4027757060294057,1.2269429655840798,0.6961203609069768,4.7651040868867225e-05,1.7577369822202809,1.2269429655840798
2,430.08,6.04e-05,0.969167153040568,0.690590587136972,2.0186951822250695e-05,1.2477316012209896,0.969167153040568,0.7468215888434083,0.6934567041640735,2.480925938278525e-05,0.8001715854136613,0.7468215888434083
3,572.43,8.02e-05,0.5716660055100109,0.6887650888969455,1.4266994573379327e-05,0.4545583628331554,0.5716660055100109,0.46474458679665615,0.6898188173335834,1.9623964694768352e-05,0.23965858292840694,0.46474458679665615
4,716.52,0.0001,0.4138170303622342,0.6880575725935164,6.895476657474988e-05,0.13953511742804744,0.4138170303622342,0.3844687183843042,0.6892876903506091,4.901133092805611e-06,0.07964680441757188,0.3844687183843042
5,857.46,9.997293623837585e-05,0.36968704217519516,0.6878263980015371,1.3966246805854868e-05,0.051539307412428736,0.36968704217519516,0.3607395613280526,0.6889538947683181,6.4536409404121995e-06,0.03252135543492589,0.3607395613280526
6,998.89,9.989177454732935e-05,0.35588422822197097,0.6877112060470638,1.413472184550283e-05,0.024048769290293502,0.35588422822197097,0.3532446418365423,0.6892510743906898,5.254404624567382e-06,0.017235056245631545,0.3532446418365423
7,1139.64,9.975660367597807e-05,0.35045366512884024,0.6876901141838431,1.5180550485535494e-05,0.013208107330287114,0.35045366512884024,0.3496312261932958,0.6892620129306821,6.66710173683139e-06,0.009996438296987627,0.3496312261932958
8,1281.39,9.956757143168527e-05,0.34779882264712636,0.6876791237346367,1.4348671492663259e-05,0.007909913289572813,0.34779882264712636,0.34754926836403616,0.6889420752107662,8.18879340117182e-06,0.006151552478626479,0.34754926836403616
9,1422.82,9.932488451843476e-05,0.3463281951788504,0.6876616185786677,1.5050572120943912e-05,0.004985742540650778,0.3463281951788504,0.34669727478584234,0.689532246467841,2.4598100749808907e-05,0.003847544739213194,0.34669727478584234
10,1564.14,9.902880831080307e-05,0.3454311748975003,0.687611072940884,1.1235401764090912e-05,0.0032445355286880723,0.3454311748975003,0.34596171975135803,0.6893700274237751,1.1956600133919355e-05,0.0025462396035011666,0.34596171975135803
11,1705.18,9.86796665637763e-05,0.34488124302609474,0.6876024819607109,1.1310298528292254e-05,0.002153217733161999,0.34488124302609474,0.3456841894309886,0.6895858623685628,1.2273710664195164e-05,0.0017751504524345816,0.3456841894309886
12,1845.84,9.827784105872876e-05,0.34450871754735485,0.6875589615798824,1.0455170238274589e-05,0.0014522020372479232,0.34450871754735485,0.34561591492082083,0.6900711338015368,4.347705822364711e-06,0.0011580879494112774,0.34561591492082083
13,1987.77,9.782377118595071e-05,0.34426687700536274,0.6875389416113519,8.749111930965873e-06,0.000989564394822055,0.34426687700536274,0.34484192816010356,0.688889641831391,2.149402070556849e-05,0.0007813184073425992,0.34484192816010356
14,2128.84,9.731795346418142e-05,0.34411154204184474,0.6875407004428306,7.694535229893107e-06,0.000677767277046965,0.34411154204184474,0.3451882670395566,0.6898214682175295,1.650837482247216e-05,0.00054516029046223,0.3451882670395566
15,2268.53,9.676094099767333e-05,0.3440086219914898,0.6875443859517485,7.3134721145255295e-06,0.00046846804394826385,0.3440086219914898,0.344532739724556,0.6886834119358202,3.979846008863796e-06,0.00037967780287153204,0.344532739724556
16,2410.27,9.615334287138057e-05,0.3439228268590268,0.6875171281093926,6.6364857144397104e-06,0.00032454274015692185,0.3439228268590268,0.3446145159919767,0.6889635320127445,1.7935589010342675e-06,0.00026442316538368755,0.3446145159919767
17,2550.23,9.549582348493357e-05,0.34387074781758753,0.6875119165237853,5.868598034621028e-06,0.0002260566798597504,0.34387074781758753,0.3445640356436263,0.6889454718053776,2.2739735649451257e-06,0.0001812346414943314,0.3445640356436263
18,2689.79,9.478910182612781e-05,0.34277205836718977,0.6853821659699465,6.089997969287539e-06,0.00015829712769938815,0.34277205836718977,0.34252336599530964,0.6849056060296775,1.457065142997894e-05,0.00013238501868441865,0.34252336599530964
19,2831.3,9.403395068472123e-05,0.34138088119335663,0.6826477015719694,5.151787312499044e-06,0.00011096988957576162,0.34138088119335663,0.342504670585159,0.6849189052616593,1.5005689370132562e-06,8.953456196723247e-05,0.342504670585159
20,2973.3,9.323119580739992e-05,0.34116908103272564,0.682257621446526,4.944174724770873e-06,7.757411572712068e-05,0.34116908103272564,0.34248102929470314,0.6848946814119381,5.70482962843826e-06,6.395568378629966e-05,0.34248102929470314
21,3112.48,9.238171499483631e-05,0.3410590451497298,0.6820612761949162,3.7512246845636165e-06,5.456302179573918e-05,0.3410590451497298,0.343732174730649,0.6874159113334043,4.8371235560721385e-06,4.5537634520709895e-05,0.343732174730649
22,3247.76,9.148643714182701e-05,0.34099953912681763,0.6819582452062029,4.094859519309576e-06,3.837536142654907e-05,0.34099953912681763,0.3436755274769163,0.6873140339433712,8.644331365180699e-06,3.183563624914008e-05,0.3436755274769163
23,3382.32,9.054634122155992e-05,0.34097523032090604,0.681921238902827,3.5174366860641054e-06,2.7112674493547902e-05,0.34097523032090604,0.3437439623105265,0.6874652335243504,2.826143135119303e-07,2.2526699799494514e-05,0.3437439623105265
24,3517.58,8.95624552151215e-05,0.34090696596631814,0.6817929922725281,3.0436636992759895e-06,1.9114316790935346e-05,0.34090696596631814,0.3435717318614904,0.687126612576255,1.369239514438747e-06,1.6031272915008402e-05,0.3435717318614904
25,3652.95,8.853585498741454e-05,0.34080399422264385,0.6815925529100236,3.1261958886268566e-06,1.3557749312060837e-05,0.34080399422264385,0.34398118553370455,0.6879491871290834,2.987045203832685e-06,1.1390015525602308e-05,0.34398118553370455
26,3788.23,8.746766311071564e-05,0.3407124460282908,0.6814136543784566,2.7239172289562037e-06,9.60459542641991e-06,0.3407124460282908,0.34392539580373,0.6878406157458785,3.440642945117799e-06,8.11212054815145e-06,0.34392539580373
27,3924.22,8.635904763715892e-05,0.340671210447228,0.6813340450483929,2.578163029692834e-06,6.8283247821721135e-06,0.340671210447228,0.34426992261496775,0.6885329876502935,1.7907695006998724e-06,5.782070457580564e-06,0.34426992261496775
28,4059.14,8.521122082148819e-05,0.34064933342991194,0.6812924133167008,2.342191660685302e-06,4.847521792656223e-06,0.34064933342991194,0.34388165687122485,0.687758995233661,4.0809233585266825e-07,4.078754394151182e-06,0.34388165687122485
